iter	Passed	Remaining
145	16029	38864
146	16142	38764
147	16232	38606
148	16417	38675
149	16520	38547
150	16623	38421
151	16722	38285
152	16822	38153
153	16926	38029
154	17036	37919
155	17218	37969
156	17319	37838
157	17427	37723
158	17530	37597
159	17717	37648
160	17820	37523
161	17923	37395
162	18022	37261
163	18127	37139
164	18313	37182
165	18419	37060
166	18520	36930
167	18634	36825
168	18735	36695
169	18917	36722
170	19019	36592
171	19130	36480
172	19312	36503
173	19417	36380
174	19535	36280
175	19710	36285
176	19814	36158
177	19919	36033
178	20028	35916
179	20120	35769
180	20311	35797
181	20414	35668
182	20522	35549
183	20623	35418
184	20807	35428
185	20911	35302
186	21015	35174
187	21118	35047
188	21304	35056
189	21408	34929
190	21510	34799
191	21614	34672
192	21808	34689
193	21909	34557
194	22011	34427
195	22112	34296
196	22302	34303
197	22409	34180
198	22509	34047
199	22730	34095
200	22813	33936
201	22912	33801
202	23017	33675
203	23117	33543
204	23300	33529
205	23403	33401
206	23506	33272
207	23611	33147
208	23804	33144
209	23910	33019
210	24098	33007
211	24205	32883
212	24309	32754
213	24497	32739
214	24601	32610
215	24703	32481
216	24808	32354
217	24913	32227
218	25098	32204
219	25205	32080
220	25307	31948
221	25499	31931
222	25601	31800
223	25701	31667
224	25892	31646
225	25993	31514
226	26099	31388
227	26200	31256
228	26392	31233
229	26493	31101
230	26596	30971
231	26699	30842
232	26889	30813
233	26994	30686
234	27098	30557
235	27203	30430
236	27389	30393
237	27491	30263
238	27595	30135
239	27699	30007
240	27890	29973
241	27993	29844
242	28100	29719
243	28287	29678
244	28390	29549
245	28499	29425
246	28691	29388
247	28793	29257
248	28893	29125
249	29085	29085
250	29192	28960
251	29385	28918
252	29490	28790
253	29682	28747
254	29781	28613
255	29888	28487
256	29994	28360
257	30102	28235
258	30285	28180
259	30388	28051
260	30580	28002
261	30682	27872
262	30790	27746
263	30892	27615
264	31079	27561
265	31182	27430
266	31286	27302
267	31483	27254
268	31584	27122
269	31682	26988
270	31789	26862
271	31888	26730
272	32074	26669
273	32180	26543
274	32280	26411
275	32383	26282
276	32485	26152
277	32595	26029
278	32774	25961
279	32878	25833
280	32979	25703
281	33087	25577
282	33198	25456
283	33372	25381
284	33475	25253
285	33583	25128
286	33680	24996
287	33789	24873
288	33971	24802
289	34074	24674
290	34176	24545
291	34278	24417
292	34380	24289
293	34484	24162
294	34669	24092
295	34772	23964
296	34873	23836
297	34977	23709
298	35164	23638
299	35268	23512
300	35367	23382
301	35467	23253
302	35567	23124
303	35667	22996
304	35767	22867
305	35873	22743
306	36060	22670
307	36164	22543
308	36264	22415
309	36363	22287
310	36464	22160
311	36565	22033
312	36666	21905
313	36773	21783
314	36958	21705
315	37060	21579
316	37161	21452
317	37261	21325
318	37363	21199
319	37459	21071
320	37561	20945
321	37663	20820
322	37764	20694
323	37869	20570
324	37968	20444
325	38155	20365
326	38264	20243
327	38364	20117
328	38464	19992
329	38655	19913
330	38761	19790
331	38863	19665
332	39050	19584
333	39152	19458
334	39251	19332
335	39352	19207
336	39454	19083
337	39554	18957
338	39654	18832
339	39759	18710
340	39870	18590
341	39965	18463
342	40153	18379
343	40255	18255
344	40357	18131
345	40548	18047
346	40648	17922
347	40754	17800
348	40855	17676
349	41045	17591
350	41153	17469
351	41255	17345
352	41358	17223
353	41550	17136
354	41654	17013
355	41753	16889
356	41940	16799
357	42043	16676
358	42147	16553
359	42251	16431
360	42354	16308
361	42639	16254
362	42743	16131
363	42841	16006
364	42941	15882
365	43041	15758
366	43146	15636
367	43243	15511
368	43436	15420
369	43535	15296
370	43636	15172
371	43738	15049
372	43838	14926
373	43940	14803
374	44041	14680
375	44144	14558
376	44335	14464
377	44433	14340
378	44533	14217
379	44639	14096
380	44830	14002
381	44932	13879
382	45033	13757
383	45135	13634
384	45235	13512
385	45428	13416
386	45529	13294
387	45626	13170
388	45727	13048
389	45828	12925
390	45929	12803
391	46030	12681
392	46132	12560
393	46325	12463
394	46423	12340
395	46526	12219
396	46628	12097
397	46728	11975
398	46826	11853
399	46929	11732
400	47028	11610
401	47220	11511
402	47318	11389
403	47421	11268
404	47521	11146
405	47622	11025
406	47723	10904
407	47823	10783
408	47933	10664
409	48115	10561
410	48218	10441
411	48316	10319
412	48416	10199
413	48517	10078
414	48625	9959
415	48823	9858
416	48916	9736
417	49019	9616
418	49118	9495
419	49310	9392
420	49411	9271
421	49513	9151
422	49616	9031
423	49717	8911
424	49814	8790
425	49916	8670
426	50107	8566
427	50206	8446
428	50306	8325
429	50408	8206
430	50511	8086
431	50614	7967
432	50720	7848
433	50903	7741
434	51004	7621
435	51103	7501
436	51209	7382
437	51312	7263
438	51504	7156
439	51609	7037
440	51717	6919
441	51902	6810
442	52003	6691
443	52108	6572
444	52210	6452
445	52316	6334
446	52497	6224
447	52601	6105
448	52704	5986
449	52893	5877
450	52993	5757
451	53004	5628
452	53103	5509
453	53294	5399
454	53397	5281
455	53501	5162
456	53596	5042
457	53698	4924
458	53797	4805
459	53897	4686
460	53996	4568
461	54187	4456
462	54287	4338
463	54389	4219
464	54493	4101
465	54593	3983
466	54702	3865
467	54891	3753
468	54996	3635
469	55100	3517
470	55290	3404
471	55393	3286
472	55586	3173
473	55686	3054
474	55795	2936
475	55981	2822
476	56083	2704
477	56184	2585
478	56377	2471
479	56482	2353
480	56583	2235
481	56681	2116
482	56796	1999
483	56979	1883
484	57079	1765
485	57180	1647
486	57281	1529
487	57386	1411
488	57573	1295
489	57675	1177
490	57780	1059
491	57881	941
492	57978	823
493	58084	705
494	58184	587
495	58372	470
496	58480	352
497	58589	235
498	58766	117
499	58870	0
