iter	Accuracy	Logloss
309	0.9281705948	0.2315719743
310	0.9281705948	0.23149534
311	0.9292929293	0.2313854908
312	0.9292929293	0.2307955563
313	0.9292929293	0.230784981
314	0.9304152637	0.2302368298
315	0.9304152637	0.2300947778
316	0.9292929293	0.2291089087
317	0.9292929293	0.229017977
318	0.9304152637	0.2279526467
319	0.9304152637	0.2275258941
320	0.9304152637	0.2274932297
321	0.9292929293	0.2271743176
322	0.9292929293	0.2271550054
323	0.9292929293	0.2270686474
324	0.9292929293	0.2270527311
325	0.9304152637	0.226730472
326	0.9304152637	0.2266865012
327	0.9315375982	0.2260185153
328	0.9326599327	0.2252473641
329	0.9326599327	0.2250801814
330	0.9326599327	0.2249771274
331	0.9315375982	0.2246795431
332	0.9315375982	0.2246206767
333	0.9326599327	0.2245434967
334	0.9326599327	0.2244961871
335	0.9326599327	0.2238367424
336	0.9326599327	0.2234299164
337	0.9326599327	0.2234163316
338	0.9326599327	0.2231463998
339	0.9326599327	0.2230358731
340	0.9326599327	0.2228459766
341	0.9326599327	0.2228270763
342	0.9326599327	0.2225816293
343	0.9326599327	0.2225576993
344	0.9326599327	0.2225362227
345	0.9326599327	0.2223349332
346	0.9326599327	0.2222630349
347	0.9326599327	0.221993064
348	0.9326599327	0.2213119552
349	0.9326599327	0.2212801998
350	0.9326599327	0.2208331371
351	0.9326599327	0.2208059746
352	0.9326599327	0.22071559
353	0.9326599327	0.2206011424
354	0.9326599327	0.2202931075
355	0.9326599327	0.2200415065
356	0.9326599327	0.220008978
357	0.9326599327	0.2199681642
358	0.9326599327	0.2199417047
359	0.9326599327	0.2199040829
360	0.9326599327	0.2198713668
361	0.9326599327	0.2197918665
362	0.9326599327	0.2194927406
363	0.9326599327	0.2191316306
364	0.9326599327	0.2191000415
365	0.9326599327	0.2190423379
366	0.9326599327	0.2190149993
367	0.9326599327	0.218992344
368	0.9326599327	0.2187573714
369	0.9326599327	0.2184632625
370	0.9326599327	0.2182133616
371	0.9337822671	0.2176728716
372	0.9337822671	0.2176013675
373	0.9337822671	0.2175549729
374	0.9337822671	0.2175437446
375	0.9337822671	0.2174389628
376	0.9337822671	0.217056398
377	0.9337822671	0.2170551572
378	0.9349046016	0.2168888673
379	0.9349046016	0.2166571119
380	0.9349046016	0.2164870688
381	0.9349046016	0.216472684
382	0.9349046016	0.2164261167
383	0.9326599327	0.2161960125
384	0.9326599327	0.216183181
385	0.9326599327	0.2158735991
386	0.9326599327	0.215366117
387	0.9326599327	0.215365078
388	0.9337822671	0.2147826703
389	0.9337822671	0.2147348774
390	0.9337822671	0.2146880837
391	0.9337822671	0.2144638574
392	0.9337822671	0.2141489122
393	0.9337822671	0.2139673596
394	0.9337822671	0.2139429582
395	0.9349046016	0.2139025671
396	0.9349046016	0.2137256362
397	0.9337822671	0.2137125177
398	0.9337822671	0.2135551908
399	0.9337822671	0.2135192487
400	0.9337822671	0.2135154315
401	0.9337822671	0.2133681359
402	0.9337822671	0.2132828204
403	0.9337822671	0.2128277361
404	0.9337822671	0.212591139
405	0.9349046016	0.2123904987
406	0.9349046016	0.2122345902
407	0.9349046016	0.2121566383
408	0.9349046016	0.2121326278
409	0.9349046016	0.212107311
410	0.9349046016	0.2120339866
411	0.936026936	0.2119919714
412	0.936026936	0.2119728678
413	0.936026936	0.2112212816
414	0.936026936	0.2111558872
415	0.936026936	0.2109765883
416	0.936026936	0.2106945159
417	0.9371492705	0.2101262029
418	0.9371492705	0.2100276089
419	0.9371492705	0.2098764324
420	0.9371492705	0.2098078111
421	0.9371492705	0.2097976118
422	0.9371492705	0.2089230119
423	0.9371492705	0.2089083282
424	0.9371492705	0.2088968717
425	0.9371492705	0.2086751149
426	0.9371492705	0.2084625464
427	0.9371492705	0.2083868729
428	0.9371492705	0.2083448199
429	0.9371492705	0.2083333186
430	0.9371492705	0.2083137361
431	0.9371492705	0.2082597703
432	0.9371492705	0.2079342007
433	0.9382716049	0.207122878
434	0.9405162738	0.2065275363
435	0.9405162738	0.2061905357
436	0.9405162738	0.2061568352
437	0.9405162738	0.205969638
438	0.9416386083	0.2054707969
439	0.9416386083	0.2053826113
440	0.9416386083	0.2053741039
441	0.9416386083	0.2053402857
442	0.9416386083	0.2052081453
443	0.9416386083	0.2051203211
444	0.9416386083	0.2050514013
445	0.9416386083	0.2048872097
446	0.9416386083	0.2048793515
447	0.9416386083	0.2048640294
448	0.9416386083	0.2047642979
449	0.9416386083	0.2047576549
450	0.9416386083	0.2044760714
451	0.9416386083	0.204231935
452	0.9416386083	0.2041563431
453	0.9416386083	0.2040261149
454	0.9416386083	0.2039107569
455	0.9416386083	0.2038922064
456	0.9416386083	0.2038759306
457	0.9416386083	0.2037943405
458	0.9416386083	0.2037811419
459	0.9416386083	0.2030214755
460	0.9416386083	0.2030017162
461	0.9416386083	0.2028850775
462	0.9405162738	0.2027418372
463	0.9405162738	0.2027236893
464	0.9405162738	0.2026999941
465	0.9405162738	0.2026061963
466	0.9416386083	0.2022529603
467	0.9416386083	0.2021540202
468	0.9416386083	0.2020591757
469	0.9416386083	0.2017278445
470	0.9416386083	0.2010245659
471	0.9405162738	0.2006570897
472	0.9405162738	0.2006435861
473	0.9405162738	0.200545544
474	0.9427609428	0.1998748518
475	0.9427609428	0.1998629059
476	0.9427609428	0.1997500155
477	0.9416386083	0.1996825784
478	0.9416386083	0.1995281881
479	0.9416386083	0.1994757955
480	0.9416386083	0.1993029283
481	0.9416386083	0.1992984068
482	0.9405162738	0.1992236014
483	0.9405162738	0.199198306
484	0.9405162738	0.1991641376
485	0.9405162738	0.1988491486
486	0.9416386083	0.1983914258
487	0.9416386083	0.1979490026
488	0.9416386083	0.1977426297
489	0.9416386083	0.1971698945
490	0.9416386083	0.1970887439
491	0.9416386083	0.1970615703
492	0.9416386083	0.1970464226
493	0.9416386083	0.1969123541
494	0.9416386083	0.1968681758
495	0.9416386083	0.1968528026
496	0.9416386083	0.1966430309
497	0.9416386083	0.1966274367
498	0.9416386083	0.1966239245
499	0.9405162738	0.1963772982
